Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
jpass-0.1.20,jpass.ui,EntryDetailsTable.DetailType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: description; valueMapper
jpass-0.1.20,jpass.ui,EntryDetailsTable.DetailType,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jpass-0.1.20,jpass.ui,MessageDialog,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; serialVersionUID; DEFAULT_OPTION; YES_NO_OPTION; YES_NO_CANCEL_OPTION; OK_CANCEL_OPTION; YES_OPTION; OK_OPTION; NO_OPTION; CANCEL_OPTION; CLOSED_OPTION; selectedOption
jpass-0.1.20,jpass.ui,SvgImageIcon,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jpass-0.1.20,jpass.ui,JPassFrame,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; serialVersionUID; INSTANCE; PROGRAM_NAME; PROGRAM_VERSION; popup; topContainerPanel; jpassMenuBar; searchPanel; fileMenu; editMenu; toolsMenu; helpMenu; toolBar; scrollPane; entryDetailsTable; model; statusPanel; processing
jpass-0.1.20,jpass.ui,JPassFrame,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: FileHelper; JPassFrame; MenuActionType; EntryHelper; EntryDialog; Worker
jpass-0.1.20,jpass.ui.action,TextComponentActionType,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: serialVersionUID; serialVersionUID; serialVersionUID; serialVersionUID; serialVersionUID; serialVersionUID; name; action
jpass-0.1.20,jpass.ui.action,CloseListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jpass-0.1.20,jpass.ui.action,TableListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jpass-0.1.20,jpass.ui.action,MenuActionType,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: serialVersionUID; serialVersionUID; serialVersionUID; serialVersionUID; serialVersionUID; serialVersionUID; serialVersionUID; serialVersionUID; serialVersionUID; serialVersionUID; serialVersionUID; serialVersionUID; serialVersionUID; serialVersionUID; serialVersionUID; serialVersionUID; serialVersionUID; serialVersionUID; serialVersionUID; serialVersionUID; name; action
jpass-0.1.20,jpass.ui.action,MenuActionType,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: FileHelper; JPassFrame; MenuActionType; EntryHelper; EntryDialog; Worker
jpass-0.1.20,jpass.ui.action,TextComponentPopupListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jpass-0.1.20,jpass.ui.helper,FileHelper,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: FileHelper; JPassFrame; MenuActionType; EntryHelper; EntryDialog; Worker
jpass-0.1.20,jpass.util,ClipboardUtils.EmptyClipboardContent,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
jpass-0.1.20,jpass.util,ClipboardUtils.EmptyClipboardContent,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jpass-0.1.20,jpass.util,DateUtils,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; DEFAULT_DATE_FORMAT
jpass-0.1.20,jpass,JPass,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
