,FullClassPath,Project,SpeculativeGenerality,BaseClassKnowsDerivedClass,MessageChains,LongParameterList,SpaghettiCode,BaseClassShouldBeAbstract,LongMethod,ClassDataShouldBePrivate,TraditionBreaker,ManyFieldAttributesButNotComplex,RefusedParentBequest,SwissArmyKnife,Blob,AntiSingleton,ComplexClass,LargeClass,FunctionalDecomposition,LazyClass
0,nl.tudelft.jpacman.Launcher,jpacman-v9.0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1,nl.tudelft.jpacman.board.BoardFactory,jpacman-v9.0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,nl.tudelft.jpacman.game.Game,jpacman-v9.0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,nl.tudelft.jpacman.game.SinglePlayerGame,jpacman-v9.0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,nl.tudelft.jpacman.level.CollisionInteractionMap,jpacman-v9.0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,nl.tudelft.jpacman.level.Level,jpacman-v9.0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0
6,nl.tudelft.jpacman.level.MapParser,jpacman-v9.0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
7,nl.tudelft.jpacman.level.Pellet,jpacman-v9.0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,nl.tudelft.jpacman.level.Player,jpacman-v9.0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
9,nl.tudelft.jpacman.npc.Ghost,jpacman-v9.0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,nl.tudelft.jpacman.npc.ghost.Blinky,jpacman-v9.0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,nl.tudelft.jpacman.npc.ghost.Clyde,jpacman-v9.0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,nl.tudelft.jpacman.npc.ghost.Inky,jpacman-v9.0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,nl.tudelft.jpacman.npc.ghost.Navigation,jpacman-v9.0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
14,nl.tudelft.jpacman.npc.ghost.Pinky,jpacman-v9.0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,nl.tudelft.jpacman.points.PointCalculatorLoader,jpacman-v9.0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,nl.tudelft.jpacman.sprite.AnimatedSprite,jpacman-v9.0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,nl.tudelft.jpacman.sprite.ImageSprite,jpacman-v9.0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,nl.tudelft.jpacman.sprite.PacManSprites,jpacman-v9.0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,nl.tudelft.jpacman.sprite.SpriteStore,jpacman-v9.0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
20,nl.tudelft.jpacman.ui.BoardPanel,jpacman-v9.0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,nl.tudelft.jpacman.ui.ButtonPanel,jpacman-v9.0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
22,nl.tudelft.jpacman.ui.PacManUI,jpacman-v9.0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
